2007 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:13745 Phase:FinalResults Generated:2008-09-03T12:43:44 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8791,Wanniassa Hills,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1685,2.47
ACT,101,Canberra,8792,Waramanga,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1131,-1.77
ACT,101,Canberra,8792,Waramanga,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,2104,1.77
ACT,101,Canberra,8793,Weston,18175,COLBERT,Natalie,2,N,N,LP,Liberal,552,-1.79
ACT,101,Canberra,8793,Weston,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1016,1.79
ACT,101,Canberra,8840,Yarralumla,18175,COLBERT,Natalie,2,N,N,LP,Liberal,759,0.21
ACT,101,Canberra,8840,Yarralumla,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1200,-0.21
ACT,102,Fraser,8802,Ainslie,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,582,-1.6
ACT,102,Fraser,8802,Ainslie,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1520,1.6
ACT,102,Fraser,8801,Ainslie North,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,556,-0.85
ACT,102,Fraser,8801,Ainslie North,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1913,0.85
ACT,102,Fraser,38197,Amaroo,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,1470,-4.38
ACT,102,Fraser,38197,Amaroo,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1551,4.38
ACT,102,Fraser,8803,Aranda,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,684,-1.32
ACT,102,Fraser,8803,Aranda,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1996,1.32
ACT,102,Fraser,8804,Baker Gardens,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,212,1.41
ACT,102,Fraser,8804,Baker Gardens,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,630,-1.41
ACT,102,Fraser,8805,Belconnen,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,825,0.93
ACT,102,Fraser,8805,Belconnen,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1674,-0.93
ACT,102,Fraser,12073,Bruce,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,269,-5.15
ACT,102,Fraser,12073,Bruce,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,418,5.15
ACT,102,Fraser,8806,Campbell,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,935,-8.41
ACT,102,Fraser,8806,Campbell,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1153,8.41
ACT,102,Fraser,8807,Charnwood,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,1376,-3.01
ACT,102,Fraser,8807,Charnwood,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,2476,3.01
ACT,102,Fraser,8808,City,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,370,-1.5
ACT,102,Fraser,8808,City,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,912,1.5
ACT,102,Fraser,8809,Dickson,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,471,0.78
ACT,102,Fraser,8809,Dickson,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1048,-0.78
ACT,102,Fraser,8810,Downer,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,338,-0.84
ACT,102,Fraser,8810,Downer,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,910,0.84
ACT,102,Fraser,8812,Evatt,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,1094,-3.2
ACT,102,Fraser,8812,Evatt,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1974,3.2
ACT,102,Fraser,8813,Evatt South,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,564,-1.85
ACT,102,Fraser,8813,Evatt South,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1042,1.85
ACT,102,Fraser,8814,Florey,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,772,-3.36
ACT,102,Fraser,8814,Florey,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1503,3.36
ACT,102,Fraser,34238,Fraser,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,1122,-2.97
ACT,102,Fraser,34238,Fraser,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1896,2.97
ACT,102,Fraser,8816,Giralang,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,616,-4.32
ACT,102,Fraser,8816,Giralang,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1364,4.32
ACT,102,Fraser,34240,Gungahlin,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,1659,3.31
ACT,102,Fraser,34240,Gungahlin,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1573,-3.31
ACT,102,Fraser,8819,Hall,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,122,0.56
ACT,102,Fraser,8819,Hall,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,104,-0.56
ACT,102,Fraser,8820,Higgins,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,756,-1.01
ACT,102,Fraser,8820,Higgins,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1386,1.01
ACT,102,Fraser,8821,Holt,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,793,-2.71
ACT,102,Fraser,8821,Holt,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1493,2.71
