2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for WA [12246 8/11/2005 11:07:35 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
WA,235,Brand,31809,Greenfields East,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,670,-4.78
WA,235,Brand,31809,Greenfields East,14946,EDMAN,Phil,7,,LP,Liberal,625,18.62
WA,235,Brand,31809,Greenfields East,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,15,0.41
WA,235,Brand,31809,Greenfields East,999,Informal,Informal,999,,,Informal,93,-0.28
WA,235,Brand,7488,Hillman,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,36,1.15
WA,235,Brand,7488,Hillman,14146,JENKINS,Jean,2,,GRN,The Greens,91,1.51
WA,235,Brand,7488,Hillman,14139,KETTLE,Gerard,3,,IND,Independent,29,1.59
WA,235,Brand,7488,Hillman,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,53,-2.26
WA,235,Brand,7488,Hillman,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,16,-1.01
WA,235,Brand,7488,Hillman,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,1006,-4.98
WA,235,Brand,7488,Hillman,14946,EDMAN,Phil,7,,LP,Liberal,576,14.09
WA,235,Brand,7488,Hillman,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,16,0.62
WA,235,Brand,7488,Hillman,999,Informal,Informal,999,,,Informal,127,2.1
WA,235,Brand,7498,Hope Valley,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,9,2.87
WA,235,Brand,7498,Hope Valley,14146,JENKINS,Jean,2,,GRN,The Greens,21,1.64
WA,235,Brand,7498,Hope Valley,14139,KETTLE,Gerard,3,,IND,Independent,5,1.59
WA,235,Brand,7498,Hope Valley,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,13,-3.02
WA,235,Brand,7498,Hope Valley,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,5,-0.09
WA,235,Brand,7498,Hope Valley,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,127,-3.76
WA,235,Brand,7498,Hope Valley,14946,EDMAN,Phil,7,,LP,Liberal,133,13.31
WA,235,Brand,7498,Hope Valley,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,1,0.32
WA,235,Brand,7498,Hope Valley,999,Informal,Informal,999,,,Informal,24,2.87
WA,235,Brand,11896,Leda,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,30,1.27
WA,235,Brand,11896,Leda,14146,JENKINS,Jean,2,,GRN,The Greens,82,0.88
WA,235,Brand,11896,Leda,14139,KETTLE,Gerard,3,,IND,Independent,20,1.3
WA,235,Brand,11896,Leda,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,36,-4.02
WA,235,Brand,11896,Leda,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,16,-2.67
WA,235,Brand,11896,Leda,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,867,-2.43
WA,235,Brand,11896,Leda,14946,EDMAN,Phil,7,,LP,Liberal,461,13.38
WA,235,Brand,11896,Leda,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,23,1.19
WA,235,Brand,11896,Leda,999,Informal,Informal,999,,,Informal,114,2.53
WA,235,Brand,7490,Madora Bay,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,4,0.45
WA,235,Brand,7490,Madora Bay,14146,JENKINS,Jean,2,,GRN,The Greens,22,-0.36
WA,235,Brand,7490,Madora Bay,14139,KETTLE,Gerard,3,,IND,Independent,3,0.73
WA,235,Brand,7490,Madora Bay,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,9,-2.22
WA,235,Brand,7490,Madora Bay,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,5,-1.38
WA,235,Brand,7490,Madora Bay,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,137,-5.61
WA,235,Brand,7490,Madora Bay,14946,EDMAN,Phil,7,,LP,Liberal,223,22.26
WA,235,Brand,7490,Madora Bay,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,9,1.92
WA,235,Brand,7490,Madora Bay,999,Informal,Informal,999,,,Informal,26,1.48
WA,235,Brand,7491,Mandurah,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,18,0.51
WA,235,Brand,7491,Mandurah,14146,JENKINS,Jean,2,,GRN,The Greens,40,0.59
WA,235,Brand,7491,Mandurah,14139,KETTLE,Gerard,3,,IND,Independent,10,0.69
WA,235,Brand,7491,Mandurah,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,45,-2.03
WA,235,Brand,7491,Mandurah,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,12,-0.36
WA,235,Brand,7491,Mandurah,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,660,-2.88
WA,235,Brand,7491,Mandurah,14946,EDMAN,Phil,7,,LP,Liberal,649,16.01
WA,235,Brand,7491,Mandurah,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,12,0.57
WA,235,Brand,7491,Mandurah,999,Informal,Informal,999,,,Informal,80,0.89
WA,235,Brand,7492,Mandurah Central,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,24,0.96
WA,235,Brand,7492,Mandurah Central,14146,JENKINS,Jean,2,,GRN,The Greens,43,0.59
WA,235,Brand,7492,Mandurah Central,14139,KETTLE,Gerard,3,,IND,Independent,7,0.52
WA,235,Brand,7492,Mandurah Central,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,41,-2.85
WA,235,Brand,7492,Mandurah Central,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,10,-0.29
WA,235,Brand,7492,Mandurah Central,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,655,-0.66
WA,235,Brand,7492,Mandurah Central,14946,EDMAN,Phil,7,,LP,Liberal,572,11.28
WA,235,Brand,7492,Mandurah Central,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,7,0.23
WA,235,Brand,7492,Mandurah Central,999,Informal,Informal,999,,,Informal,85,-0.05
WA,235,Brand,7493,Mandurah East,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,17,0.99
WA,235,Brand,7493,Mandurah East,14146,JENKINS,Jean,2,,GRN,The Greens,60,2.19
WA,235,Brand,7493,Mandurah East,14139,KETTLE,Gerard,3,,IND,Independent,10,0.9
WA,235,Brand,7493,Mandurah East,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,33,-4.83
