2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [12246 8/11/2005 11:07:25 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8777,Kambah South,15421,ELLERMAN,Sue,1,,GRN,The Greens,158,3.26
ACT,101,Canberra,8777,Kambah South,15166,BARNIER,Belinda,2,,LP,Liberal,574,4.12
ACT,101,Canberra,8777,Kambah South,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,24,1.38
ACT,101,Canberra,8777,Kambah South,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),931,2.25
ACT,101,Canberra,8777,Kambah South,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,46,-4.8
ACT,101,Canberra,8777,Kambah South,999,Informal,Informal,999,,,Informal,51,-0.79
ACT,101,Canberra,8778,Kambah West,15421,ELLERMAN,Sue,1,,GRN,The Greens,368,4.95
ACT,101,Canberra,8778,Kambah West,15166,BARNIER,Belinda,2,,LP,Liberal,1145,2.43
ACT,101,Canberra,8778,Kambah West,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,20,0.6
ACT,101,Canberra,8778,Kambah West,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1715,3.46
ACT,101,Canberra,8778,Kambah West,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,69,-5.35
ACT,101,Canberra,8778,Kambah West,999,Informal,Informal,999,,,Informal,115,-0.77
ACT,101,Canberra,8779,Lyons,15421,ELLERMAN,Sue,1,,GRN,The Greens,191,4.06
ACT,101,Canberra,8779,Lyons,15166,BARNIER,Belinda,2,,LP,Liberal,389,2.08
ACT,101,Canberra,8779,Lyons,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,11,0.8
ACT,101,Canberra,8779,Lyons,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),741,3.93
ACT,101,Canberra,8779,Lyons,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,41,-5.95
ACT,101,Canberra,8779,Lyons,999,Informal,Informal,999,,,Informal,52,0.85
ACT,101,Canberra,8780,Mawson,15421,ELLERMAN,Sue,1,,GRN,The Greens,276,2.66
ACT,101,Canberra,8780,Mawson,15166,BARNIER,Belinda,2,,LP,Liberal,1061,1.2
ACT,101,Canberra,8780,Mawson,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,18,0.64
ACT,101,Canberra,8780,Mawson,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1390,5.48
ACT,101,Canberra,8780,Mawson,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,50,-6.18
ACT,101,Canberra,8780,Mawson,999,Informal,Informal,999,,,Informal,107,-0.41
ACT,101,Canberra,8781,Monash,15421,ELLERMAN,Sue,1,,GRN,The Greens,231,3.66
ACT,101,Canberra,8781,Monash,15166,BARNIER,Belinda,2,,LP,Liberal,1088,3.81
ACT,101,Canberra,8781,Monash,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,17,0.58
ACT,101,Canberra,8781,Monash,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1539,2.58
ACT,101,Canberra,8781,Monash,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,59,-4.88
ACT,101,Canberra,8781,Monash,999,Informal,Informal,999,,,Informal,101,-0.59
ACT,101,Canberra,8783,Oaks Estate,15421,ELLERMAN,Sue,1,,GRN,The Greens,18,5.03
ACT,101,Canberra,8783,Oaks Estate,15166,BARNIER,Belinda,2,,LP,Liberal,49,6.86
ACT,101,Canberra,8783,Oaks Estate,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,2,1.41
ACT,101,Canberra,8783,Oaks Estate,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),69,5.06
ACT,101,Canberra,8783,Oaks Estate,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,4,-3.06
ACT,101,Canberra,8783,Oaks Estate,999,Informal,Informal,999,,,Informal,5,-0.01
ACT,101,Canberra,8784,Pearce,15421,ELLERMAN,Sue,1,,GRN,The Greens,243,3.56
ACT,101,Canberra,8784,Pearce,15166,BARNIER,Belinda,2,,LP,Liberal,826,-0.81
ACT,101,Canberra,8784,Pearce,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,17,0.7
ACT,101,Canberra,8784,Pearce,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1276,8.09
ACT,101,Canberra,8784,Pearce,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,54,-6.08
ACT,101,Canberra,8784,Pearce,999,Informal,Informal,999,,,Informal,103,0.73
ACT,101,Canberra,8785,Red Hill,15421,ELLERMAN,Sue,1,,GRN,The Greens,193,3.16
ACT,101,Canberra,8785,Red Hill,15166,BARNIER,Belinda,2,,LP,Liberal,802,3.1
ACT,101,Canberra,8785,Red Hill,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,13,0.74
ACT,101,Canberra,8785,Red Hill,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),735,0.27
ACT,101,Canberra,8785,Red Hill,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,22,-4.63
ACT,101,Canberra,8785,Red Hill,999,Informal,Informal,999,,,Informal,60,0.46
ACT,101,Canberra,8786,Richardson,15421,ELLERMAN,Sue,1,,GRN,The Greens,130,3.73
ACT,101,Canberra,8786,Richardson,15166,BARNIER,Belinda,2,,LP,Liberal,628,2.97
ACT,101,Canberra,8786,Richardson,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,15,0.88
ACT,101,Canberra,8786,Richardson,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),880,2.98
ACT,101,Canberra,8786,Richardson,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,45,-4.1
ACT,101,Canberra,8786,Richardson,999,Informal,Informal,999,,,Informal,90,0.88
ACT,101,Canberra,8787,Rivett,15421,ELLERMAN,Sue,1,,GRN,The Greens,192,5.5
ACT,101,Canberra,8787,Rivett,15166,BARNIER,Belinda,2,,LP,Liberal,537,0.34
ACT,101,Canberra,8787,Rivett,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,15,0.87
ACT,101,Canberra,8787,Rivett,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),944,6.92
ACT,101,Canberra,8787,Rivett,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,41,-6.7
ACT,101,Canberra,8787,Rivett,999,Informal,Informal,999,,,Informal,88,1.89
ACT,101,Canberra,32712,Special Hospital Team 1,15421,ELLERMAN,Sue,1,,GRN,The Greens,16,3.97
ACT,101,Canberra,32712,Special Hospital Team 1,15166,BARNIER,Belinda,2,,LP,Liberal,159,1.37
ACT,101,Canberra,32712,Special Hospital Team 1,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,2,0.74
ACT,101,Canberra,32712,Special Hospital Team 1,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),84,-2.88
ACT,101,Canberra,32712,Special Hospital Team 1,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,9,0.06
ACT,101,Canberra,32712,Special Hospital Team 1,999,Informal,Informal,999,,,Informal,16,1.21
ACT,101,Canberra,32713,Special Hospital Team 2,15421,ELLERMAN,Sue,1,,GRN,The Greens,22,3.61
ACT,101,Canberra,32713,Special Hospital Team 2,15166,BARNIER,Belinda,2,,LP,Liberal,190,-6.92
ACT,101,Canberra,32713,Special Hospital Team 2,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,7,1.85
ACT,101,Canberra,32713,Special Hospital Team 2,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),152,6.51
ACT,101,Canberra,32713,Special Hospital Team 2,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,7,-1.46
ACT,101,Canberra,32713,Special Hospital Team 2,999,Informal,Informal,999,,,Informal,26,2.21
ACT,101,Canberra,8788,Tharwa,15421,ELLERMAN,Sue,1,,GRN,The Greens,22,3.46
ACT,101,Canberra,8788,Tharwa,15166,BARNIER,Belinda,2,,LP,Liberal,57,6.47
ACT,101,Canberra,8788,Tharwa,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,0,0
ACT,101,Canberra,8788,Tharwa,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),48,6.27
ACT,101,Canberra,8788,Tharwa,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,4,-9.54
ACT,101,Canberra,8788,Tharwa,999,Informal,Informal,999,,,Informal,7,2.19
ACT,101,Canberra,11878,Theodore,15421,ELLERMAN,Sue,1,,GRN,The Greens,127,3.88
ACT,101,Canberra,11878,Theodore,15166,BARNIER,Belinda,2,,LP,Liberal,630,9.1
ACT,101,Canberra,11878,Theodore,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,17,1.1
ACT,101,Canberra,11878,Theodore,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),741,-1.49
ACT,101,Canberra,11878,Theodore,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,28,-7.15
ACT,101,Canberra,11878,Theodore,999,Informal,Informal,999,,,Informal,74,0.53
ACT,101,Canberra,8790,Wanniassa,15421,ELLERMAN,Sue,1,,GRN,The Greens,236,3.94
ACT,101,Canberra,8790,Wanniassa,15166,BARNIER,Belinda,2,,LP,Liberal,891,2.8
ACT,101,Canberra,8790,Wanniassa,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,27,1
ACT,101,Canberra,8790,Wanniassa,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1488,5.48
ACT,101,Canberra,8790,Wanniassa,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,59,-6.6
ACT,101,Canberra,8790,Wanniassa,999,Informal,Informal,999,,,Informal,104,-0.61
ACT,101,Canberra,8791,Wanniassa Hills,15421,ELLERMAN,Sue,1,,GRN,The Greens,268,4.09
ACT,101,Canberra,8791,Wanniassa Hills,15166,BARNIER,Belinda,2,,LP,Liberal,961,4.19
ACT,101,Canberra,8791,Wanniassa Hills,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,18,0.68
ACT,101,Canberra,8791,Wanniassa Hills,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1364,4.38
ACT,101,Canberra,8791,Wanniassa Hills,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,46,-6.22
